Traditional Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month/QTR,CA,US,Alameda,Amador,Butte,Calaveras,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Kern,Kings,Lake,Lassen,LA,Madera,Marin,Mariposa/Tuolumne,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
Jan-91,25%,NA,21%,NA,NA,NA,24%,NA,NA,43%,NA,NA,NA,NA,NA,NA,NA,22%,NA,18%,NA,NA,42%,NA,NA,NA,NA,24%,NA,NA,40%,38%,NA,39%,25%,13%,NA,19%,12%,22%,24%,15%,NA,NA,NA,27%,NA,NA,NA,NA,NA,NA,25%,NA,NA
Feb-91,24%,NA,20%,NA,NA,NA,27%,NA,NA,44%,NA,NA,NA,NA,NA,NA,NA,22%,NA,18%,NA,NA,36%,NA,NA,NA,NA,24%,NA,NA,39%,39%,NA,40%,27%,13%,NA,21%,18%,25%,25%,15%,NA,NA,NA,26%,NA,NA,NA,NA,NA,NA,25%,NA,NA
Mar-91,24%,NA,21%,NA,NA,NA,23%,NA,NA,48%,NA,NA,NA,NA,NA,NA,NA,21%,NA,16%,NA,NA,40%,NA,NA,NA,NA,25%,NA,NA,40%,37%,NA,40%,26%,14%,NA,23%,14%,19%,25%,16%,NA,NA,NA,27%,NA,NA,NA,NA,NA,NA,27%,NA,NA
Apr-91,23%,NA,18%,NA,NA,NA,21%,NA,NA,47%,NA,NA,NA,NA,NA,NA,NA,21%,NA,16%,NA,NA,37%,NA,NA,NA,NA,24%,NA,NA,40%,36%,NA,40%,27%,13%,NA,21%,14%,15%,23%,17%,NA,NA,NA,28%,NA,NA,NA,NA,NA,NA,25%,NA,NA
May-91,22%,NA,17%,NA,NA,NA,19%,NA,NA,44%,NA,NA,NA,NA,NA,NA,NA,18%,NA,16%,NA,NA,42%,NA,NA,NA,NA,25%,NA,NA,40%,37%,NA,40%,25%,13%,NA,20%,13%,19%,22%,16%,NA,NA,NA,27%,NA,NA,NA,NA,NA,NA,27%,NA,NA
Jun-91,24%,NA,20%,NA,NA,NA,20%,NA,NA,46%,NA,NA,NA,NA,NA,NA,NA,19%,NA,15%,NA,NA,40%,NA,NA,NA,NA,25%,NA,NA,40%,38%,NA,41%,26%,12%,NA,17%,13%,20%,21%,15%,NA,NA,NA,25%,NA,NA,NA,NA,NA,NA,24%,NA,NA
Jul-91,24%,NA,19%,NA,NA,NA,19%,NA,NA,44%,NA,NA,NA,NA,NA,NA,NA,20%,NA,16%,NA,NA,40%,NA,NA,NA,NA,24%,NA,NA,40%,37%,NA,38%,25%,12%,NA,20%,13%,19%,23%,16%,NA,NA,NA,25%,NA,NA,NA,NA,NA,NA,27%,NA,NA
Aug-91,25%,NA,20%,NA,NA,NA,24%,NA,NA,45%,NA,NA,NA,NA,NA,NA,NA,21%,NA,16%,NA,NA,36%,NA,NA,NA,NA,25%,NA,NA,39%,37%,NA,42%,24%,13%,NA,19%,12%,24%,23%,16%,NA,NA,NA,25%,NA,NA,NA,NA,NA,NA,26%,NA,NA
Sep-91,26%,NA,22%,NA,NA,NA,23%,NA,NA,46%,NA,NA,NA,NA,NA,NA,NA,21%,NA,17%,NA,NA,43%,NA,NA,NA,NA,27%,NA,NA,40%,40%,NA,42%,29%,14%,NA,22%,14%,29%,27%,16%,NA,NA,NA,25%,NA,NA,NA,NA,NA,NA,27%,NA,NA
Oct-91,27%,NA,24%,NA,NA,NA,24%,NA,NA,44%,NA,NA,NA,NA,NA,NA,NA,23%,NA,18%,NA,NA,45%,NA,NA,NA,NA,29%,NA,NA,43%,41%,NA,41%,29%,15%,NA,26%,15%,23%,28%,20%,NA,NA,NA,28%,NA,NA,NA,NA,NA,NA,28%,NA,NA
