,CountyName,total_population,total_age_population,total_race_population,hispanic_or_latino,median_household_income,bachelors_degree,masters_degree,professional_degree,doctorate_degree,labor_force,unemployed,median_rent,median_home_value,same_house_1yr_ago,moved_from_same_state,moved_from_different_state,owner_occupied,renter_occupied,state_fips,county_fips
0,"Autauga County, Alabama",59285,59285,59285,2188,69841,6518,4006,599,407,27070,688,1200,197900,52879,412,0,16872,5651,01,001
1,"Baldwin County, Alabama",239945,239945,239945,13393,75019,35348,14835,3843,2382,113171,3615,1211,287000,210591,557,75,73381,21261,01,003
2,"Barbour County, Alabama",24757,24757,24757,1490,44290,1179,559,193,90,9074,518,644,109900,21616,53,0,6128,2952,01,005
3,"Bibb County, Alabama",22152,22152,22152,744,51215,1121,537,92,77,9375,936,802,132600,18921,0,0,5843,1728,01,007
4,"Blount County, Alabama",59292,59292,59292,5962,61096,4088,1843,287,168,27180,1586,743,169700,52218,49,0,17473,4504,01,009
5,"Bullock County, Alabama",10157,10157,10157,577,36723,493,117,54,0,3848,226,635,79400,8520,36,0,2193,1260,01,011
6,"Butler County, Alabama",18807,18807,18807,300,44881,1046,581,154,31,8026,545,722,99700,17580,70,0,4968,2294,01,013
7,"Calhoun County, Alabama",116141,116141,116141,5150,55826,9842,4500,955,857,52221,3362,804,149500,100786,362,86,31762,13363,01,015
8,"Chambers County, Alabama",34450,34450,34450,1270,49295,2386,921,174,90,15297,759,850,129700,31309,175,0,9526,3893,01,017
9,"Cherokee County, Alabama",25224,25224,25224,437,50769,1726,894,254,120,10758,370,750,165900,22721,10,0,8324,2153,01,019
10,"Chilton County, Alabama",45500,45500,45500,4489,61873,2858,1614,144,72,19943,1076,855,142300,41755,23,0,13487,4067,01,021
11,"Choctaw County, Alabama",12525,12525,12525,136,44483,891,296,56,9,4816,265,653,111800,11996,70,0,4254,920,01,023
12,"Clarke County, Alabama",22802,22802,22802,261,49167,1545,714,179,25,9256,1218,785,126400,21057,87,0,5994,2458,01,025
13,"Clay County, Alabama",14188,14188,14188,451,51852,1154,316,93,0,5657,197,624,144700,12996,0,0,4479,1286,01,027
14,"Cleburne County, Alabama",15254,15254,15254,306,53319,1201,647,103,27,6018,93,792,144200,13704,0,0,4682,1167,01,029
15,"Coffee County, Alabama",54231,54231,54231,5096,64672,4497,2525,557,366,22983,999,970,180300,45319,201,8,14442,6418,01,031
16,"Colbert County, Alabama",57648,57648,57648,1890,56736,5274,2120,522,391,26965,884,838,161600,51925,72,0,17146,7071,01,033
17,"Conecuh County, Alabama",11411,11411,11411,101,42266,565,351,45,106,3822,316,781,101300,10484,7,0,3393,1135,01,035
18,"Coosa County, Alabama",10323,10323,10323,245,57063,815,244,89,32,4115,208,682,111800,9333,0,0,3416,785,01,037
19,"Covington County, Alabama",37647,37647,37647,727,50886,2596,1441,392,116,15841,723,736,142500,34533,94,0,10975,3520,01,039
20,"Crenshaw County, Alabama",13144,13144,13144,236,49040,1046,411,58,15,5445,265,664,108400,11735,0,0,3766,1309,01,041
21,"Cullman County, Alabama",89463,89463,89463,4346,60916,7754,3441,467,248,41633,1739,883,180500,76643,240,7,26376,8167,01,043
22,"Dale County, Alabama",49516,49516,49516,3431,53955,4370,1726,257,186,19110,1299,863,129100,40945,111,8,12127,7642,01,045
23,"Dallas County, Alabama",37536,37536,37536,340,36810,2868,1184,105,181,15567,1699,749,97400,32612,58,0,9406,6010,01,047
24,"DeKalb County, Alabama",71946,71946,71946,11987,51149,4115,2061,395,156,31994,1359,683,135500,64450,123,0,19916,6030,01,049
25,"Elmore County, Alabama",88669,88669,88669,2917,75553,9976,3982,615,531,41141,1607,1014,213600,78663,197,10,25003,7526,01,051
26,"Escambia County, Alabama",36695,36695,36695,835,44447,2080,899,152,54,14357,1313,709,122700,33918,0,0,8779,4002,01,053
27,"Etowah County, Alabama",103208,103208,103208,5134,53070,7698,3220,1211,554,46145,2911,807,160600,92013,249,28,28881,10279,01,055
28,"Fayette County, Alabama",16173,16173,16173,184,50733,1107,377,207,59,6839,648,622,121200,14261,0,0,4731,1320,01,057
29,"Franklin County, Alabama",31978,31978,31978,6341,51493,2036,890,155,69,13927,501,667,128000,29823,18,0,8319,3274,01,059
30,"Geneva County, Alabama",26726,26726,26726,1353,50951,1812,665,20,29,11617,571,757,120200,24462,11,0,8258,2292,01,061
31,"Greene County, Alabama",7589,7589,7589,57,31495,396,213,38,11,2457,82,429,86400,7410,1,0,2118,919,01,063
32,"Hale County, Alabama",14749,14749,14749,129,41325,1100,461,17,94,5765,339,723,126300,13611,0,0,4267,1274,01,065
33,"Henry County, Alabama",17450,17450,17450,374,60135,1805,843,68,42,7709,254,770,147800,16135,5,0,5407,1277,01,067
34,"Houston County, Alabama",107628,107628,107628,4680,57531,10662,4517,1240,541,48670,2220,905,178000,95460,254,10,27216,15365,01,069
35,"Jackson County, Alabama",52839,52839,52839,1777,49454,3583,1852,299,158,22255,1197,762,145800,48188,28,7,15898,5288,01,071
36,"Jefferson County, Alabama",669744,669744,669744,35103,64589,96623,41844,15974,8925,325383,15638,1132,224900,573064,2336,93,171343,97568,01,073
37,"Lamar County, Alabama",13809,13809,13809,255,47447,678,358,74,29,5579,357,548,112700,12911,45,0,3692,1295,01,075
38,"Lauderdale County, Alabama",95037,95037,95037,3163,59082,10681,4959,1052,894,45158,1776,799,185800,78117,155,5,26304,12473,01,077
39,"Lawrence County, Alabama",33182,33182,33182,953,60040,2421,1022,161,48,14789,304,708,150700,29946,140,0,10702,2443,01,079
40,"Lee County, Alabama",177663,177663,177663,9335,61123,24876,14177,2381,3981,86157,3197,999,238700,148782,1405,140,44659,23285,01,081
41,"Limestone County, Alabama",107577,107577,107577,7785,83534,14425,6994,828,727,51739,1915,908,255100,95174,179,0,31015,9006,01,083
42,"Lowndes County, Alabama",10008,10008,10008,27,35160,636,275,53,7,3908,283,663,80600,9334,21,0,3217,944,01,085
43,"Macon County, Alabama",18951,18951,18951,372,45951,1311,683,284,140,8370,894,709,95700,17079,92,7,4634,2517,01,087
44,"Madison County, Alabama",397135,397135,397135,25948,83528,73736,39997,4949,5851,206284,7818,1116,267800,332128,2033,187,111741,50728,01,089
45,"Marengo County, Alabama",19027,19027,19027,452,44205,1562,943,106,29,7592,182,722,103400,17464,13,0,5258,2357,01,091
46,"Marion County, Alabama",29190,29190,29190,879,50714,1752,708,89,114,12112,746,583,104300,26427,41,0,8180,2694,01,093
47,"Marshall County, Alabama",98712,98712,98712,16360,60946,9466,3376,628,412,43420,1607,765,183400,87854,135,2,27144,8819,01,095
48,"Mobile County, Alabama",413162,413162,413162,13778,58119,45444,18428,4204,2407,189058,10044,1021,176600,363101,524,64,104128,56379,01,097
49,"Monroe County, Alabama",19580,19580,19580,29,40225,842,552,73,67,7187,853,721,114900,18388,19,0,5193,2203,01,099
50,"Montgomery County, Alabama",227197,227197,227197,10796,58153,30013,15561,3526,2516,104540,6265,1061,160100,182280,2949,82,52387,38398,01,101
51,"Morgan County, Alabama",123742,123742,123742,12626,64858,12989,5053,1005,729,57237,2288,835,193000,109975,129,1,35348,13404,01,103
52,"Perry County, Alabama",8231,8231,8231,18,34368,545,240,42,51,2561,404,610,87700,7099,39,26,2215,980,01,105
53,"Pickens County, Alabama",18843,18843,18843,1088,47014,1245,424,165,37,7351,477,600,123300,16602,76,34,5240,1706,01,107
54,"Pike County, Alabama",32953,32953,32953,889,47961,3102,1655,237,292,15308,592,855,149000,28194,112,20,7925,4680,01,109
55,"Randolph County, Alabama",22310,22310,22310,635,51551,1899,1039,190,91,9413,263,646,184000,20611,0,0,7183,1944,01,111
56,"Russell County, Alabama",58858,58858,58858,3382,50046,4323,1808,245,368,24059,1599,898,152300,50433,43,0,14402,9382,01,113
57,"St. Clair County, Alabama",92903,92903,92903,2670,78993,8822,3606,353,253,44513,1981,1077,218500,81530,51,0,28434,6043,01,115
58,"Shelby County, Alabama",226955,226955,226955,16709,93543,46948,18430,3954,2649,118845,3463,1348,298700,197227,466,79,69407,16007,01,117
59,"Sumter County, Alabama",12020,12020,12020,100,37981,753,483,32,87,4654,400,841,84100,10118,19,3,3317,1448,01,119
60,"Talladega County, Alabama",81170,81170,81170,1879,56249,5312,3387,603,438,34911,2814,772,137900,71566,116,9,23865,9024,01,121
61,"Tallapoosa County, Alabama",41070,41070,41070,1137,57185,3560,1442,440,130,17794,1334,734,144800,36249,21,2,12511,4037,01,123
62,"Tuscaloosa County, Alabama",234036,234036,234036,12593,63947,26261,12280,2185,4231,117414,6310,997,233700,193255,942,209,54257,33032,01,125
63,"Walker County, Alabama",64886,64886,64886,2253,54509,4328,2086,522,247,27210,1188,743,131100,58785,11,0,19253,5590,01,127
64,"Washington County, Alabama",15270,15270,15270,255,60503,917,578,168,77,6208,383,628,152800,13967,3,0,4877,801,01,129
65,"Wilcox County, Alabama",10347,10347,10347,11,42236,554,244,42,15,3842,465,699,84200,9388,8,0,2877,816,01,131
66,"Winston County, Alabama",23637,23637,23637,826,48032,1411,741,90,39,10098,421,744,110500,21706,6,0,7148,2180,01,133
67,"Aleutians East Borough, Alaska",3423,3423,3423,360,72692,336,105,31,1,2415,92,1040,144300,2847,98,37,569,429,02,013
68,"Aleutians West Census Area, Alaska",5178,5178,5178,715,107344,581,83,18,5,3786,154,1886,419100,3912,192,0,288,689,02,016
69,"Anchorage Municipality, Alaska",289069,289069,289069,26953,98152,45019,19008,5255,3248,148752,6811,1453,375900,239033,1775,237,68751,39117,02,020
70,"Bethel Census Area, Alaska",18487,18487,18487,257,70616,566,400,90,2,7641,1077,1454,120600,16140,31,0,2820,1841,02,050
71,"Bristol Bay Borough, Alaska",878,878,878,73,100625,140,32,0,3,472,19,1318,269800,668,33,1,147,136,02,060
72,"Chugach Census Area, Alaska",6964,6964,6964,359,88565,985,411,32,10,3672,319,1397,330900,5963,1,0,1680,999,02,063
73,"Copper River Census Area, Alaska",2626,2626,2626,102,75053,319,177,15,11,1144,87,973,246700,2202,6,1,776,370,02,066
74,"Denali Borough, Alaska",2029,2029,2029,131,88935,261,119,11,2,1362,17,938,262000,1832,5,5,417,116,02,068
75,"Dillingham Census Area, Alaska",4780,4780,4780,164,74250,374,147,30,3,2102,226,1085,163800,4205,56,0,873,510,02,070
76,"Fairbanks North Star Borough, Alaska",95555,95555,95555,7825,84722,12151,6173,941,1367,42991,2118,1424,282500,77449,1137,164,22318,13858,02,090
77,"Haines Borough, Alaska",2077,2077,2077,83,72607,325,222,21,16,892,42,914,318900,1890,0,0,687,212,02,100
78,"Hoonah-Angoon Census Area, Alaska",2313,2313,2313,250,62500,278,105,15,12,1263,213,986,278300,2044,0,0,666,256,02,105
79,"Juneau City and Borough, Alaska",31969,31969,31969,2234,100513,5864,2286,716,398,17178,692,1462,432500,27950,91,11,8462,4676,02,110
80,"Kenai Peninsula Borough, Alaska",59843,59843,59843,2547,77722,8110,3384,626,357,26892,1858,1163,297500,51998,147,12,18351,5551,02,122
81,"Ketchikan Gateway Borough, Alaska",13870,13870,13870,730,89155,1817,647,133,96,7134,248,1388,379000,12347,19,0,3785,1836,02,130
82,"Kodiak Island Borough, Alaska",12878,12878,12878,1051,83716,1727,474,103,115,6382,306,1669,382700,11381,89,0,2797,1811,02,150
83,"Kusilvak Census Area, Alaska",8277,8277,8277,136,48233,194,33,3,0,2936,531,832,72700,7512,7,0,1313,578,02,158
84,"Lake and Peninsula Borough, Alaska",1007,1007,1007,11,64000,80,40,0,0,559,53,933,166100,872,15,0,195,127,02,164
85,"Matanuska-Susitna Borough, Alaska",110677,110677,110677,5748,90625,11510,4827,908,501,50338,3024,1258,319200,94834,393,99,30411,9271,02,170
86,"Nome Census Area, Alaska",9925,9925,9925,207,76643,466,437,42,23,4404,696,1328,201000,8619,5,0,1765,1021,02,180
87,"North Slope Borough, Alaska",10891,10891,10891,578,86313,647,355,60,28,6594,437,1167,219600,9308,88,41,1092,1113,02,185
88,"Northwest Arctic Borough, Alaska",7611,7611,7611,159,81298,345,106,48,7,2987,488,1336,162500,6485,22,0,1099,718,02,188
89,"Petersburg Borough, Alaska",3394,3394,3394,303,77026,467,198,6,6,1796,76,1208,301300,2978,16,2,936,383,02,195
90,"Prince of Wales-Hyder Census Area, Alaska",5730,5730,5730,207,59079,493,183,10,10,2869,233,915,221800,5016,13,0,1681,667,02,198
91,"Sitka City and Borough, Alaska",8393,8393,8393,575,101207,1330,555,116,96,4585,327,1350,442100,6636,54,0,2160,1343,02,220
92,"Skagway Municipality, Alaska",1308,1308,1308,64,78594,221,49,18,0,876,83,1228,430000,1095,13,10,296,155,02,230
93,"Southeast Fairbanks Census Area, Alaska",6936,6936,6936,402,74223,624,258,18,15,3031,209,1304,262800,5574,165,35,1754,557,02,240
94,"Wrangell City and Borough, Alaska",2106,2106,2106,116,64545,218,54,8,6,881,31,1047,289700,1823,11,0,516,396,02,275
95,"Yakutat City and Borough, Alaska",506,506,506,24,80625,43,16,0,0,296,4,1276,185000,406,24,24,126,81,02,282
96,"Yukon-Koyukuk Census Area, Alaska",5271,5271,5271,109,52642,302,120,20,3,2666,173,893,87800,4436,0,0,1638,679,02,290
97,"Apache County, Arizona",65680,65680,65680,4092,40338,3769,2251,171,294,20532,2057,647,68500,62073,21,1,16174,4265,04,001
98,"Cochise County, Arizona",125458,125458,125458,43077,58970,15057,7394,1176,1060,46480,3392,939,207400,107214,1280,125,35586,14890,04,003
99,"Coconino County, Arizona",144643,144643,144643,22034,69748,20482,9806,1943,2474,73416,4867,1406,413200,113631,1038,242,31565,22077,04,005
100,"Gila County, Arizona",53610,53610,53610,9529,59089,4991,2109,238,225,20645,1521,1001,247000,45363,133,9,17944,5309,04,007
101,"Graham County, Arizona",38860,38860,38860,11769,67326,2407,1029,102,77,15106,955,890,202700,31936,16,2,9163,3297,04,009
102,"Greenlee County, Arizona",9452,9452,9452,4396,75239,946,205,56,24,4265,151,570,136300,7789,20,0,1922,1522,04,011
103,"La Paz County, Arizona",16605,16605,16605,4230,49506,1165,587,44,38,6087,660,735,117600,14627,79,0,6259,2628,04,012
104,"Maricopa County, Arizona",4491987,4491987,4491987,1387720,85518,681592,299767,68274,45293,2322355,106930,1587,414700,3792963,27314,3059,1103493,593849,04,013
105,"Mohave County, Arizona",217420,217420,217420,36295,55799,15551,6814,1759,1100,81599,5662,1047,253200,185559,899,49,71347,25552,04,015
106,"Navajo County, Arizona",107744,107744,107744,11466,52752,7503,3819,801,538,37845,3317,832,186100,94492,184,25,28494,10677,04,017
107,"Pima County, Arizona",1049947,1049947,1049947,379548,67929,146720,77426,16976,17290,497064,28264,1154,286900,867381,7070,992,279304,151661,04,019
108,"Pinal County, Arizona",449219,449219,449219,131771,77588,47556,18256,2237,2258,192635,11246,1417,312100,380814,1568,274,126578,30615,04,021
109,"Santa Cruz County, Arizona",48209,48209,48209,39875,53614,4808,2025,405,296,21086,2210,781,216100,42453,513,137,11498,5318,04,023
110,"Yavapai County, Arizona",241656,241656,241656,36225,66106,32658,16676,3775,2717,100945,4252,1258,392900,207201,572,35,80054,28846,04,025
111,"Yuma County, Arizona",207685,207685,207685,133743,60417,14330,6400,1357,365,82451,6700,983,195700,175031,3759,440,53850,23053,04,027
112,"Arkansas County, Arkansas",16773,16773,16773,661,60831,1143,471,166,4,7987,543,799,129400,14042,23,0,4443,2144,05,001
113,"Ashley County, Arkansas",18722,18722,18722,1157,44481,1131,382,23,53,6976,423,640,88800,16981,25,0,5193,2006,05,003
114,"Baxter County, Arkansas",42150,42150,42150,1157,48427,4317,1240,264,208,15746,882,866,165400,36056,9,0,14459,4830,05,005
115,"Benton County, Arkansas",294541,294541,294541,53388,89879,46597,19769,3131,1716,151308,4763,1193,285100,253223,1342,146,72356,35311,05,007
116,"Boone County, Arkansas",37896,37896,37896,1120,54195,2866,1049,286,132,17115,673,715,169300,32809,109,18,10707,4525,05,009
117,"Bradley County, Arkansas",10354,10354,10354,1618,39565,723,235,89,46,3953,175,638,97000,9272,40,0,2407,1193,05,011
118,"Calhoun County, Arkansas",4717,4717,4717,544,63654,374,132,99,8,2004,144,822,97300,4400,0,0,1368,216,05,013
119,"Carroll County, Arkansas",28526,28526,28526,4423,55187,2928,1084,180,104,12099,477,818,186300,26382,13,0,8627,2479,05,015
120,"Chicot County, Arkansas",9997,9997,9997,628,39683,844,250,56,52,3704,314,661,90500,9244,6,0,2641,1278,05,017
121,"Clark County, Arkansas",21378,21378,21378,1146,50985,2035,766,63,291,10097,447,734,147100,17216,81,0,5014,3133,05,019
122,"Clay County, Arkansas",14399,14399,14399,120,48500,962,574,54,14,6666,418,696,88100,11997,3,0,4371,1745,05,021
123,"Cleburne County, Arkansas",25048,25048,25048,713,55979,2334,861,105,117,9893,644,853,174600,21687,30,20,8214,2244,05,023
124,"Cleveland County, Arkansas",7491,7491,7491,23,50509,587,237,20,29,2822,65,635,123400,7191,0,0,2212,581,05,025
125,"Columbia County, Arkansas",22527,22527,22527,757,47363,1905,771,94,101,9712,300,631,141700,19547,61,0,5781,2580,05,027
